GRID_ID,lon,lat,population,population_density_km2,Ai_A,Ai_B,Ai_C,level_A,level_B,level_C
DY-98,104.08936912153412,30.663884953639737,3151,30320.52712777098,1.0232852221763455,0.8616376688530477,0.6943120568217432,基本平衡,供给不足,供给不足
DJ-131,104.04340136824688,30.56196906022569,7458,71764.67192052549,2.9021626291686284,2.4222691390884687,2.1501596531258604,供给充足,供给充足,供给充足
CN-89,103.97320492877536,30.69271265771217,1573,15136.211659901406,1.6187750008934025,1.3575896922975474,1.136255725079906,供给充足,基本平衡,基本平衡
DO-84,104.05763289581525,30.70741825785312,55,529.2380171506002,1.4000339685731786,1.1719291052797383,0.8557855670118141,基本平衡,基本平衡,供给不足
EP-127,104.14338391101244,30.575168357200862,24,230.94022566499868,0.6084192627117735,0.5147148188440657,0.4628000098692853,供给不足,供给不足,严重不足
CQ-92,103.98271557163096,30.68184772840893,2088,20091.796284226875,1.4561202402508413,1.2218634539662045,1.014981957019216,基本平衡,基本平衡,基本平衡
EK-85,104.1265774989704,30.70477464415494,5263,50643.25854592244,0.9670822428464337,0.8061835495913915,0.64696263191396,供给不足,供给不足,供给不足
DY-124,104.09012960809652,30.58262137642373,3224,31022.97031433149,0.853822985886349,0.72167792008726,0.5887279902281535,供给不足,供给不足,供给不足
ES-110,104.15232002461882,30.6268019436989,1381,13288.685485140131,0.6211281100836178,0.5177121141894955,0.4155402840279677,供给不足,供给不足,严重不足
CU-72,103.99591445028554,30.7452421854878,30,3604.885380271003,0.6201120490156441,0.5167600408463701,0.37298996229547704,供给不足,供给不足,严重不足
EJ-66,104.12289312409962,30.765700722921768,1414,13606.226027728351,2.241407367533668,1.8680026941511214,1.5384351839922983,供给充足,供给充足,供给充足
ES-128,104.15280970638888,30.570541381202737,28,269.4303410535533,0.4989439669349756,0.4231837011651644,0.3846143509306691,严重不足,严重不足,严重不足
CQ-110,103.98330450725952,30.62559036246128,984,9468.547674175885,1.0520084952785536,0.8804597436794953,0.670896183858024,基本平衡,供给不足,供给不足
DQ-97,104.06428991060297,30.66683248299044,1104,10623.251676772064,1.2076006603980762,1.0181017628325777,0.8459069276867819,基本平衡,基本平衡,供给不足
DN-120,104.05557954614922,30.596441027993865,2685,25836.433440205536,1.3333939483849278,1.1217448104731975,0.9386345984720854,基本平衡,基本平衡,供给不足
CW-111,104.00211555822882,30.62261038522929,1139,10960.036383014563,1.1028448309082848,0.926093371739703,0.7131505705955161,基本平衡,供给不足,供给不足
DS-60,104.07033616511794,30.782937729674984,25,650.5905711435524,1.6387763706941672,1.440662949811805,1.3677009473910247,供给充足,基本平衡,基本平衡
DK-117,104.04611615837771,30.604186291813505,267,2569.210752189241,1.1578714138824222,0.984377538606879,0.821459544365292,基本平衡,供给不足,供给不足
EG-58,104.11312877706116,30.78813512421077,25,738.4341108528896,2.202987352918357,1.8360241521183356,1.633382832903619,供给充足,供给充足,供给充足
EH-67,104.1166527345512,30.76253270005895,278,2675.057168110666,2.1157275650868206,1.7633506469983145,1.4185505709337618,供给充足,供给充足,基本平衡
EI-75,104.12002868931724,30.735987366094573,420,4041.453949137477,0.5713356433204854,0.47611303610040445,0.3615383224520217,供给不足,严重不足,严重不足
DX-91,104.08601726960936,30.68730417774176,3082,29656.569036438264,0.8400447966045744,0.7051367785335064,0.5454801420498447,供给不足,供给不足,供给不足
EZ-78,104.17336545507688,30.72852380630909,557,5359.737737308511,0.7641844669382022,0.6368203891151687,0.5252041196055811,供给不足,供给不足,供给不足
CU-89,103.99514502183492,30.6913214390813,136,1308.661278768326,1.479122190681999,1.2383166106512367,0.9901452452887379,基本平衡,基本平衡,供给不足
EN-127,104.13712723262245,30.57512703280396,28,269.430173465897,0.5469471610993787,0.4624527161414861,0.41789430123546045,供给不足,严重不足,严重不足
EQ-130,104.14621790742628,30.56468227511513,25,397.4240111089054,0.26397321588872164,0.22390862214013962,0.20581645307264654,严重不足,严重不足,严重不足
DV-112,104.08037501525236,30.621624477594743,1675,16117.703249536367,1.3493050533591104,1.1326331872372992,0.901483380390268,基本平衡,基本平衡,供给不足
DW-74,104.0823972450652,30.73885240313209,24,230.9401871753791,0.7213953690022602,0.6011628075018837,0.44898411904281754,供给不足,供给不足,严重不足
EA-92,104.09545670178332,30.682681705952213,1250,12028.134748699038,1.0888621966163012,0.9124378803497802,0.690529753708552,基本平衡,供给不足,供给不足
DP-119,104.06180733656916,30.599611809859567,262,2521.0970433273187,1.0255478913083438,0.8650698084083019,0.7174750721396835,基本平衡,供给不足,供给不足
DD-125,104.02439245937656,30.58073138035896,24,258.2344780132911,3.3593180906244893,2.8177067056755387,2.4556762819083597,供给充足,供给充足,供给充足
EF-85,104.11090069963404,30.70623109580981,3118,30002.98431764441,0.8371820705427363,0.6991212210893222,0.5792915782735384,供给不足,供给不足,供给不足
EH-118,104.1181026140032,30.60313132360138,4180,40222.082599649584,2.1159220767464264,1.7800567974504626,1.394994939049987,供给充足,供给充足,基本平衡
CL-91,103.96700755409616,30.68641223030789,1733,16675.806015596347,1.4775786799042767,1.2435022801719418,1.021766503579226,基本平衡,基本平衡,基本平衡
EN-121,104.13696110978152,30.59388051839625,1237,11903.043599583005,1.586008634877673,1.3381825692846756,1.1523641484632376,供给充足,基本平衡,基本平衡
DW-94,104.08298874816144,30.67634289363765,2352,22632.13834318715,1.062257445800043,0.8946293919716888,0.7186675143566251,基本平衡,供给不足,供给不足
DI-78,104.03865177690756,30.72603307287947,693,6668.399016076837,1.6040828852348625,1.3473604276098907,1.0674253777683418,供给充足,基本平衡,基本平衡
DK-128,104.0464527788748,30.56980578156092,28,269.4303410535533,3.493978980858572,2.9180728821179356,2.606437492228308,供给充足,供给充足,供给充足
CS-90,103.98891370629484,30.68814742687928,1876,18051.82463084752,1.407470465433892,1.180292609713527,0.9553395384867951,基本平衡,基本平衡,供给不足
EQ-111,104.14595248239516,30.62485809947132,36,2139.3846884063614,0.9118826643345637,0.7607410370295196,0.591044454039875,供给不足,供给不足,供给不足
DU-114,104.07731934449828,30.61378852370896,2053,19755.01180376009,1.210841109051249,1.019668138681403,0.8558321933355073,基本平衡,基本平衡,供给不足
DH-126,104.03699133044624,30.577550452278057,106,1019.9862911344792,3.3906627495078974,2.8356513583320004,2.521832247955122,供给充足,供给充足,供给充足
EB-115,104.09924058314844,30.612379310700604,1360,13086.616565458306,2.0489684324776234,1.7228234993653917,1.3551309295068643,供给充足,供给充足,基本平衡
DW-87,104.08278193240636,30.69822129169456,1492,14356.7816360694,0.5963793605949755,0.5003260239233636,0.3954330506375982,供给不足,供给不足,严重不足
DP-91,104.06096215692416,30.68712545828563,1357,13057.743083187675,1.0673938533218255,0.8985713645473948,0.6836894307545506,基本平衡,供给不足,供给不足
