GRID_ID,lon,lat,population,population_density_km2,area_m2,scenario
DY-98,104.08936912153412,30.663884953639737,3151,30320.52712777098,103922.995359601,daytime
DJ-131,104.04340136824688,30.56196906022569,7458,71764.67192052549,103923.000000045,daytime
CN-89,103.97320492877536,30.69271265771217,1573,15136.211659901406,103922.965359104,daytime
DO-84,104.05763289581525,30.70741825785312,55,529.2380171506002,103922.99535872,daytime
EP-127,104.14338391101244,30.575168357200862,24,230.94022566499868,103922.995359043,daytime
CQ-92,103.98271557163096,30.68184772840893,2088,20091.796284226875,103923.012679518,daytime
EK-85,104.1265774989704,30.70477464415494,5263,50643.25854592244,103923.012679518,daytime
DY-124,104.09012960809652,30.58262137642373,3224,31022.97031433149,103922.995359043,daytime
ES-110,104.15232002461882,30.6268019436989,1381,13288.685485140131,103922.995359043,daytime
CU-72,103.99591445028554,30.7452421854878,30,3604.885380271003,8322.03990844918,daytime
EJ-66,104.12289312409962,30.765700722921768,1414,13606.226027728351,103923.012679518,daytime
ES-128,104.15280970638888,30.570541381202737,28,269.4303410535533,103922.965359104,daytime
CQ-110,103.98330450725952,30.62559036246128,984,9468.547674175885,103923.012679518,daytime
DQ-97,104.06428991060297,30.66683248299044,1104,10623.251676772064,103922.982679015,daytime
DN-120,104.05557954614922,30.596441027993865,2685,25836.433440205536,103923.012679518,daytime
CW-111,104.00211555822882,30.62261038522929,1139,10960.036383014563,103923.012679518,daytime
DS-60,104.07033616511794,30.782937729674984,25,650.5905711435524,38426.6251446853,daytime
DK-117,104.04611615837771,30.604186291813505,267,2569.210752189241,103922.965359104,daytime
EG-58,104.11312877706116,30.78813512421077,25,738.4341108528896,33855.4241097084,daytime
EH-67,104.1166527345512,30.76253270005895,278,2675.057168110666,103923.012679518,daytime
EI-75,104.12002868931724,30.735987366094573,420,4041.453949137477,103922.995359043,daytime
DX-91,104.08601726960936,30.68730417774176,3082,29656.569036438264,103923.012679357,daytime
EZ-78,104.17336545507688,30.72852380630909,557,5359.737737308511,103922.995359043,daytime
CU-89,103.99514502183492,30.6913214390813,136,1308.661278768326,103922.995359043,daytime
EN-127,104.13712723262245,30.57512703280396,28,269.430173465897,103923.029999994,daytime
EQ-130,104.14621790742628,30.56468227511513,25,397.4240111089054,62905.1071429836,daytime
DV-112,104.08037501525236,30.621624477594743,1675,16117.703249536367,103922.995359043,daytime
DW-74,104.0823972450652,30.73885240313209,24,230.9401871753791,103923.012679357,daytime
EA-92,104.09545670178332,30.682681705952213,1250,12028.134748699038,103923.012679518,daytime
DP-119,104.06180733656916,30.599611809859567,262,2521.0970433273187,103923.012679518,daytime
DD-125,104.02439245937656,30.58073138035896,24,258.2344780132911,92938.7902988103,daytime
EF-85,104.11090069963404,30.70623109580981,3118,30002.98431764441,103922.995359043,daytime
EH-118,104.1181026140032,30.60313132360138,4180,40222.082599649584,103923.012679518,daytime
CL-91,103.96700755409616,30.68641223030789,1733,16675.806015596347,103923.012679518,daytime
EN-121,104.13696110978152,30.59388051839625,1237,11903.043599583005,103923.000000045,daytime
