GRID_ID,lon,lat,population,population_density_km2,Ai_base,level_base,Ai_hotel_0.6,Ai_hotel_0.7,Ai_hotel_0.8,level_hotel_0.7,Ai_improve
DY-98,104.08936912153412,30.663884953639737,3151,30320.52712777098,1.0232852221763455,基本平衡,1.0744669887849192,1.0829972832196815,1.0915275776544437,基本平衡,0.05971206104333593
DJ-131,104.04340136824688,30.56196906022569,7458,71764.67192052549,2.9021626291686284,供给充足,2.9129091382755186,2.9147002231266668,2.916491307977815,供给充足,0.012537593958038329
CN-89,103.97320492877536,30.69271265771217,1573,15136.211659901406,1.6187750008934025,供给充足,1.6274787412277139,1.6289293646167657,1.6303799880058176,供给充足,0.010154363723363202
DO-84,104.05763289581525,30.70741825785312,55,529.2380171506002,1.4000339685731786,基本平衡,1.4198062894596446,1.4231016762740556,1.4263970630884666,基本平衡,0.02306770770087696
EP-127,104.14338391101244,30.575168357200862,24,230.94022566499868,0.6084192627117735,供给不足,0.6084192627117735,0.6084192627117735,0.6084192627117735,供给不足,0.0
CQ-92,103.98271557163096,30.68184772840893,2088,20091.796284226875,1.4561202402508413,基本平衡,1.465348497894457,1.4668865408350598,1.4684245837756624,基本平衡,0.010766300584218458
EK-85,104.1265774989704,30.70477464415494,5263,50643.25854592244,0.9670822428464337,供给不足,0.9670822428464337,0.9670822428464337,0.9670822428464337,供给不足,0.0
DY-124,104.09012960809652,30.58262137642373,3224,31022.97031433149,0.853822985886349,供给不足,0.8574236389144752,0.8580237477524962,0.8586238565905172,供给不足,0.004200761866147262
ES-110,104.15232002461882,30.6268019436989,1381,13288.685485140131,0.6211281100836178,供给不足,0.7177806393623588,0.733889394242149,0.7499981491219392,供给不足,0.11276128415853126
CU-72,103.99591445028554,30.7452421854878,30,3604.885380271003,0.6201120490156441,供给不足,0.7251488435787773,0.7426549760059662,0.7601611084331551,供给不足,0.1225429269903221
EJ-66,104.12289312409962,30.765700722921768,1414,13606.226027728351,2.241407367533668,供给充足,2.279750313207652,2.286140804153316,2.2925312950989802,供给充足,0.044733436619647904
ES-128,104.15280970638888,30.570541381202737,28,269.4303410535533,0.4989439669349756,严重不足,0.4989439669349756,0.4989439669349756,0.4989439669349756,严重不足,0.0
CQ-110,103.98330450725952,30.62559036246128,984,9468.547674175885,1.0520084952785536,基本平衡,1.0763502513265393,1.0804072106678702,1.084464170009201,基本平衡,0.028398715389316598
DQ-97,104.06428991060297,30.66683248299044,1104,10623.251676772064,1.2076006603980762,基本平衡,1.3393879134416347,1.361352455615561,1.3833169977894872,基本平衡,0.15375179521748472
DN-120,104.05557954614922,30.596441027993865,2685,25836.433440205536,1.3333939483849278,基本平衡,1.3519573922993946,1.3550512996184725,1.3581452069375504,基本平衡,0.02165735123354473
CW-111,104.00211555822882,30.62261038522929,1139,10960.036383014563,1.1028448309082848,基本平衡,1.142652983830735,1.1492876759844768,1.1559223681382185,基本平衡,0.04644284507619201
DS-60,104.07033616511794,30.782937729674984,25,650.5905711435524,1.6387763706941672,供给充足,1.6387763706941672,1.6387763706941672,1.6387763706941672,供给充足,0.0
DK-117,104.04611615837771,30.604186291813505,267,2569.210752189241,1.1578714138824222,基本平衡,1.1724608558158236,1.1748924294713903,1.1773240031269572,基本平衡,0.01702101558896807
EG-58,104.11312877706116,30.78813512421077,25,738.4341108528896,2.202987352918357,供给充足,2.202987352918357,2.202987352918357,2.202987352918357,供给充足,0.0
EH-67,104.1166527345512,30.76253270005895,278,2675.057168110666,2.1157275650868206,供给充足,2.140898322652687,2.1450934489136646,2.1492885751746424,供给充足,0.02936588382684402
EI-75,104.12002868931724,30.735987366094573,420,4041.453949137477,0.5713356433204854,供给不足,0.5788569065398074,0.5801104504096943,0.5813639942795814,供给不足,0.008774807089208969
DX-91,104.08601726960936,30.68730417774176,3082,29656.569036438264,0.8400447966045744,供给不足,0.884540892778419,0.8919569088073931,0.8993729248363672,供给不足,0.05191211220281866
EZ-78,104.17336545507688,30.72852380630909,557,5359.737737308511,0.7641844669382022,供给不足,0.7641844669382022,0.7641844669382022,0.7641844669382022,供给不足,0.0
CU-89,103.99514502183492,30.6913214390813,136,1308.661278768326,1.479122190681999,基本平衡,1.4819245435494366,1.4823916023606762,1.482858661171916,基本平衡,0.0032694116786773364
EN-127,104.13712723262245,30.57512703280396,28,269.430173465897,0.5469471610993787,供给不足,0.5469471610993787,0.5469471610993787,0.5469471610993787,供给不足,0.0
EQ-130,104.14621790742628,30.56468227511513,25,397.4240111089054,0.26397321588872164,严重不足,0.26397321588872164,0.26397321588872164,0.26397321588872164,严重不足,0.0
DV-112,104.08037501525236,30.621624477594743,1675,16117.703249536367,1.3493050533591104,基本平衡,1.3779022249666244,1.3826684202345434,1.3874346155024624,基本平衡,0.033363366875432954
DW-74,104.0823972450652,30.73885240313209,24,230.9401871753791,0.7213953690022602,供给不足,0.7213953690022602,0.7213953690022602,0.7213953690022602,供给不足,0.0
EA-92,104.09545670178332,30.682681705952213,1250,12028.134748699038,1.0888621966163012,基本平衡,1.1180652786862293,1.122932459031217,1.127799639376205,基本平衡,0.03407026241491584
DP-119,104.06180733656916,30.599611809859567,262,2521.0970433273187,1.0255478913083438,基本平衡,1.069765028214124,1.077134551031754,1.084504073849384,基本平衡,0.051586659723410255
DD-125,104.02439245937656,30.58073138035896,24,258.2344780132911,3.3593180906244893,供给充足,3.3593180906244893,3.3593180906244893,3.3593180906244893,供给充足,0.0
EF-85,104.11090069963404,30.70623109580981,3118,30002.98431764441,0.8371820705427363,供给不足,0.8533398462706794,0.8560328088920033,0.8587257715133271,供给不足,0.018850738349266982
EH-118,104.1181026140032,30.60313132360138,4180,40222.082599649584,2.1159220767464264,供给充足,2.1318897720234893,2.134551054569666,2.1372123371158436,供给充足,0.0186289778232398
CL-91,103.96700755409616,30.68641223030789,1733,16675.806015596347,1.4775786799042767,基本平衡,1.511786474424172,1.5174877735108212,1.5231890725974706,供给充足,0.03990909360654449
EN-121,104.13696110978152,30.59388051839625,1237,11903.043599583005,1.586008634877673,供给充足,1.5929179025223088,1.594069447129748,1.5952209917371873,供给充足,0.008060812252075111
DW-94,104.08298874816144,30.67634289363765,2352,22632.13834318715,1.062257445800043,基本平衡,1.123420939439028,1.1336148550455256,1.143808770652023,基本平衡,0.0713574092454825
DI-78,104.03865177690756,30.72603307287947,693,6668.399016076837,1.6040828852348625,供给充足,1.6072082891477801,1.607729189799933,1.608250090452086,供给充足,0.003646304565070535
DK-128,104.0464527788748,30.56980578156092,28,269.4303410535533,3.493978980858572,供给充足,3.5067398168657276,3.50886662286692,3.5109934288681126,供给充足,0.014887642008348134
