GRID_ID,lon,lat,population,population_density_km2,Ai_A,level_A,Ai_B,level_B,Ai_C,level_C,所属区,R_风险_昼,H_危险性,E_暴露度_昼,V_脆弱性,CDI,ESI,Quadrant
DY-98,104.08936912153412,30.663884953639737,3151,30320.52712777098,0.6773394972433915,供给不足,0.6884047473981632,供给不足,0.7048326758194017,供给不足,锦江区,0.0447803666282337,0.550320752187503,0.229477344624681,0.354594454224014,0.3993638457923979,0.6884047473981632,III
DJ-131,104.04340136824688,30.56196906022569,7458,71764.67192052549,1.9332334992563205,供给充足,1.877327418136504,供给充足,0.9430122585837422,供给不足,武侯区,0.0159240508820825,0.38425106660783,0.256078664890259,0.161832252145397,0.1320723311216601,1.877327418136504,II
CN-89,103.97320492877536,30.69271265771217,1573,15136.211659901406,1.075882497472869,基本平衡,0.8994078137073462,供给不足,0.3879663053383207,严重不足,青羊区,0.0356117130813491,0.745293064302469,0.233241620235996,0.204861211326491,0.3144360498950686,0.8994078137073462,I
DO-84,104.05763289581525,30.70741825785312,55,529.2380171506002,0.9396191422048356,供给不足,1.0694008249241893,基本平衡,0.8406472241774217,供给不足,金牛区,0.037364798566177,0.673931924912665,0.16862524626062,0.328794102053287,0.3306746050422008,1.0694008249241893,I
EP-127,104.14338391101244,30.575168357200862,24,230.94022566499868,0.4017479865902773,严重不足,0.4028911979753214,严重不足,0.1209679715577966,严重不足,锦江区,0.0125434169547975,0.341136855142088,0.131735047099213,0.279116741469381,0.100758050708305,0.4028911979753214,IV
CQ-92,103.98271557163096,30.68184772840893,2088,20091.796284226875,0.964986796134661,供给不足,0.7462555331481339,供给不足,0.966027888993607,供给不足,青羊区,0.0340674042670441,0.702826868763424,0.21917606998698,0.22115540237098,0.3001313602137461,0.7462555331481339,III
EK-85,104.1265774989704,30.70477464415494,5263,50643.25854592244,0.6442951218182948,供给不足,0.6678247223697935,供给不足,0.210269860902666,严重不足,成华区,0.0204922967104991,0.605889065629819,0.104056700938691,0.325033008591107,0.17438727380552,0.6678247223697935,IV
DY-124,104.09012960809652,30.58262137642373,3224,31022.97031433149,0.5638735680123401,供给不足,0.5424155260005386,供给不足,0.794357907676425,供给不足,锦江区,0.0171674843824767,0.392706179791976,0.137107711137125,0.31884311586745,0.1435900600873557,0.5424155260005386,IV
ES-110,104.15232002461882,30.6268019436989,1381,13288.685485140131,0.4145979104980124,严重不足,0.3415805336757287,严重不足,0.473227669710008,严重不足,成华区,0.0148106281768193,0.47729538251202,0.089493049665112,0.346734406031047,0.1217588717051272,0.3415805336757287,IV
CU-72,103.99591445028554,30.7452421854878,30,3604.885380271003,0.4131490100924,严重不足,0.1877055837346766,严重不足,0.0,严重不足,金牛区,0.0207640867467991,0.732099539583596,0.0919499404202563,0.30845459815042,0.1769048221687317,0.1877055837346766,IV
EJ-66,104.12289312409962,30.765700722921768,1414,13606.226027728351,1.4978123721389585,基本平衡,2.189382598409454,供给充足,3.462099671499669,供给充足,金牛区,0.0431137209226047,0.687220476047921,0.124033236202786,0.505802929042314,0.3839259687260412,2.189382598409454,I
ES-128,104.15280970638888,30.570541381202737,28,269.4303410535533,0.3290311530607568,严重不足,0.288525554540633,严重不足,0.1404602382969292,严重不足,锦江区,0.0091964620466055,0.31183519019431,0.127304184811955,0.2316610281257,0.0697557337522814,0.288525554540633,IV
CQ-110,103.98330450725952,30.62559036246128,984,9468.547674175885,0.6991358073715672,供给不足,0.5574698507943285,供给不足,0.4189842041151149,严重不足,武侯区,0.0323363450654548,0.557520060302417,0.272604563381791,0.212763590422396,0.2840968310642917,0.5574698507943285,III
DQ-97,104.06428991060297,30.66683248299044,1104,10623.251676772064,0.7972988355257817,供给不足,0.7355990450879974,供给不足,1.5775340646676403,供给充足,青羊区,0.0405984176557567,0.582783187079761,0.186360848304849,0.37380698657717,0.3606271101341666,0.7355990450879974,III
DN-120,104.05557954614922,30.596441027993865,2685,25836.433440205536,0.8828619205235643,供给不足,0.697771005823216,供给不足,0.834307085013196,供给不足,武侯区,0.0202149383924706,0.396262582920226,0.282870544608091,0.180343971533858,0.1718181473243526,0.697771005823216,IV
CW-111,104.00211555822882,30.62261038522929,1139,10960.036383014563,0.7314595374750315,供给不足,0.7462715396051119,供给不足,1.060745156462351,基本平衡,武侯区,0.0187098425282207,0.510184037697132,0.301993403171464,0.121435540310827,0.1578766810325694,0.7462715396051119,IV
DS-60,104.07033616511794,30.782937729674984,25,650.5905711435524,1.05198300108267,基本平衡,1.0558805606034198,基本平衡,0.8361586626705853,供给不足,金牛区,0.0328663374546653,0.834600502839801,0.123948813212465,0.317709568832904,0.2890060672163438,1.0558805606034198,I
DK-117,104.04611615837771,30.604186291813505,267,2569.210752189241,0.760562319372535,供给不足,0.7756381663666019,供给不足,0.6912630920361366,供给不足,武侯区,0.035043146836899,0.430103691287435,0.265019559054806,0.307434074941125,0.3091695101882459,0.7756381663666019,III
EG-58,104.11312877706116,30.78813512421077,25,738.4341108528896,1.4695222570923052,基本平衡,1.6005336448503735,供给充足,0.0,严重不足,金牛区,0.0293135010011973,0.743367160956602,0.12395463466653,0.31812774657942,0.2560967018843702,1.6005336448503735,I
EH-67,104.1166527345512,30.76253270005895,278,2675.057168110666,1.4135314752324528,基本平衡,1.733804936438908,供给充足,1.2551618837633565,基本平衡,金牛区,0.0680490558149955,0.696645224002831,0.207248773171794,0.47132282412694,0.6148980543810921,1.733804936438908,I
EI-75,104.12002868931724,30.735987366094573,420,4041.453949137477,0.3796033840035346,严重不足,0.1678471428403979,严重不足,0.2027026224553354,严重不足,成华区,0.0166925002102328,0.729971569411618,0.0670307294705016,0.341146954778178,0.1391903563982029,0.1678471428403979,IV
DX-91,104.08601726960936,30.68730417774176,3082,29656.569036438264,0.5572978447912488,供给不足,0.5497007216225631,供给不足,0.3490373192133796,严重不足,金牛区,0.0821178992069705,0.607588644474016,0.284643533765678,0.474817655748408,0.7452155381855853,0.5497007216225631,III
EZ-78,104.17336545507688,30.72852380630909,557,5359.737737308511,0.5094904199977954,供给不足,0.8615759887216244,供给不足,0.0,严重不足,成华区,0.0056787560061361,0.650404093746578,0.0274500018327667,0.31807355675146,0.0371717759111326,0.8615759887216244,II
CU-89,103.99514502183492,30.6913214390813,136,1308.661278768326,0.9810715441549815,供给不足,1.0513133269688848,基本平衡,2.038390075563816,供给充足,青羊区,0.0263383220211268,0.715298575230385,0.143465536238697,0.25665702579246,0.2285380868832277,1.0513133269688848,I
EN-127,104.13712723262245,30.57512703280396,28,269.430173465897,0.3612817767419228,严重不足,0.3396807716594004,严重不足,0.2264601377938973,严重不足,锦江区,0.0111981269935387,0.355013943477345,0.127336069180836,0.247712851390637,0.0882968413640677,0.3396807716594004,IV
EQ-130,104.14621790742628,30.56468227511513,25,397.4240111089054,0.1741832647927305,严重不足,0.0744583323978815,严重不足,0.0,严重不足,锦江区,0.0099793330071176,0.318026940509579,0.127091388353863,0.246900221706587,0.0770073443413745,0.0744583323978815,IV
DV-112,104.08037501525236,30.621624477594743,1675,16117.703249536367,0.8951977634577148,供给不足,0.98867358209718,供给不足,1.71075753020208,供给充足,武侯区,0.0355828822870946,0.447194833645054,0.284846153196615,0.279340552367619,0.3141689947819615,0.98867358209718,I
DW-74,104.0823972450652,30.73885240313209,24,230.9401871753791,0.4559848646987655,严重不足,1.1324394290303517,基本平衡,3.309709582427666,供给充足,金牛区,0.03799643374297,0.688789007735996,0.106986478740282,0.515617602561653,0.3365253423507859,1.1324394290303517,I
EA-92,104.09545670178332,30.682681705952213,1250,12028.134748699038,0.7228784453697759,供给不足,0.9507022278168304,供给不足,1.61006630794599,供给充足,成华区,0.0337794870814366,0.558187103258986,0.129020577035023,0.469044743080712,0.2974644286027337,0.9507022278168304,I
